,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
0,tt0369610,USA,"$150,000,000","$208,806,270,","$652,270,625","$1,670,401,444",124 min
1,tt0381957,UK,,,,,
2,tt0401729,USA,"$250,000,000","$30,180,188,","$73,078,100","$284,139,100",132 min
3,tt10010134,France,,,,,52 min
4,tt10027708,Australia,,,,,94 min
5,tt10050722,Germany,"EUR35,000",,,,71 min
6,tt10084780,India,,,,,
7,tt10121294,Germany,"EUR3,200",,,,
8,tt1014759,USA,"$200,000,000","$116,101,023,","$334,191,110","$1,025,467,803",108 min
9,tt10214198,Hong Kong,,,,"$2,704,326",91 min
10,tt10225354,Argentina,,,,,
11,tt10225420,Argentina,,,,,
12,tt10308634,South Korea,,,,"$1,424,100",114 min
13,tt10351180,India,,,,,
14,tt10379338,,,,,,
15,tt10446418,Serbia,,,,,215 min
16,tt1179034,France,"$52,000,000","$8,158,860,","$24,077,427","$52,844,496",92 min
17,tt1180174,USA,"$5,000,000",,,,
18,tt1182315,Spain,,,,,90 min
19,tt1189904,USA,"$6,000,000",,,,
20,tt1194173,USA,"$125,000,000","$38,142,825,","$113,203,870","$276,144,750",135 min
21,tt1210047,USA,,,,,
22,tt1219289,USA,"$27,000,000","$18,907,302,","$79,249,455","$161,849,455",105 min
23,tt1220221,USA,"$2,000,000",,,,123 min
24,tt1223236,USA,"$5,000,000","$6,003,200,","$15,428,747","$30,857,747",89 min
25,tt1226831,USA,"$200,000",,,,
26,tt1227927,USA,,,,,98 min
27,tt1233259,Spain,,,,"$1,034,558",108 min
28,tt1233328,USA,,,,,80 min
29,tt1235522,USA,"$35,000,000","$8,268,908,","$19,701,164","$34,737,199",109 min
30,tt1240538,USA,"$75,000",,,,
31,tt1245359,USA,"$300,000",,,,
32,tt1245560,USA,,,,,
33,tt1247406,USA,"$60,000",,,,81 min
34,tt1247693,USA,,,,,100 min
35,tt1248300,USA,"$1,000,000",,,,
36,tt1252507,USA,,,,,
37,tt1259520,Spain,,,,"$1,358,896",
38,tt1260563,USA,,,,,95 min
39,tt1263750,Spain,,,,"$844,281",107 min
40,tt1272039,Dominican Republic,"$1,000,000",,,,101 min
41,tt1272051,Russia,"$25,000,000","$14,408,","$14,408","$8,553,835",85 min
42,tt1277144,USA,"$205,000",,,,
43,tt1277398,USA,,,,,
44,tt1277964,USA,"$2,785,000",,,,95 min
45,tt1280013,USA,"$85,000",,,,80 min
46,tt1284451,Japan,,,,,
47,tt1285245,India,"INR240,000,000",,,,
48,tt1288406,USA,,,,,90 min
49,tt1288472,USA,,,,,
50,tt1293751,USA,,"$5,649,","$18,164","$22,497",89 min
51,tt1294226,USA,"$20,000,000","$16,007,426,","$62,950,384","$89,137,047",108 min
52,tt1296373,USA,"$60,000","$15,465,","$40,557","$40,557",
53,tt1297282,USA,"$5,000",,,,
54,tt1305797,India,"INR1,900,000,000",,,"$3,889,511",155 min
55,tt1308729,USA,"$45,000,000","$4,548,201,","$9,489,829","$21,947,209",92 min
56,tt1309561,India,,,,,152 min
57,tt1321874,USA,,,,,62 min
58,tt1322257,India,,,,"$23,917",142 min
59,tt1322384,USA,"$130,000",,,"$213,015",85 min
60,tt1326949,USA,,,,,
61,tt1327176,USA,,,,,
62,tt1329330,USA,,,,,
63,tt1336601,France,"EUR2,870,000",,,"$274,839",84 min
64,tt1340700,Australia,"AUD50,000",,,,
65,tt1340801,Russia,"$4,500,000",,,"$1,035,474",
66,tt1340839,Switzerland,"$900,000",,,,86 min
67,tt1343092,Australia,"$105,000,000","$50,085,185,","$144,840,419","$353,641,895",143 min
68,tt1343727,UK,"$50,000,000","$6,278,491,","$13,414,714","$41,037,742",95 min
69,tt1344670,France,"EUR500,000",,,,165 min
70,tt1346308,USA,,,,,94 min
71,tt1351784,UK,"$1,200,000",,,,89 min
72,tt1371160,UK,,,,"$20,354",111 min
73,tt1384356,USA,"$225,000",,,,
74,tt1386691,Canada,,,,,86 min
75,tt1390840,USA,"$150,000",,,,
76,tt1391143,France,"EUR5,500,000",,,"$1,751,180",87 min
77,tt1401152,UK,"$30,000,000","$21,856,389,","$63,686,397","$135,710,029",113 min
78,tt1401669,Switzerland,"EUR200,000","$2,981,","$7,440","$50,421",87 min
79,tt1402488,Australia,"$135,000,000","$21,237,068,","$64,006,466","$159,197,038",117 min
