,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
0,tt6764416,France,,,,,90 min
1,tt6765446,USA,"$5,000",,,,
2,tt6767910,USA,,,,,75 min
3,tt6770758,South Korea,,,,"$4,453,538",115 min
4,tt6772716,Croatia,"EUR130,000",,,,72 min
5,tt6773288,USA,"$40,000",,,,41 min
6,tt6778128,USA,,,,,68 min
7,tt6780828,Brazil,,,,,112 min
8,tt6782276,Canada,,,,,98 min
9,tt6787126,Russia,,,,,90 min
10,tt6789058,Argentina,,,,,125 min
11,tt6789386,India,"$1,000,000",,,,150 min
12,tt6790990,Israel,,,,,60 min
13,tt6797862,Canada,,,,,38 min
14,tt6802086,Canada,CAD500,,,,73 min
15,tt6803046,USA,,,,,91 min
16,tt6803580,China,,,,,38 min
17,tt6807176,New Zealand,,,,"$90,973",79 min
18,tt6811326,Austria,"$1,000,000",,,,76 min
19,tt6813240,USA,"$15,000",,,,
20,tt6813564,Australia,AUD700,,,,84 min
21,tt6820142,Brazil,,,,,4 min
22,tt6821208,Switzerland,,,,,75 min
23,tt6821528,India,,,,,
24,tt6823890,UK,,,,"$18,512",97 min
25,tt6824186,USA,"$10,000",,,,50 min
26,tt6828404,USA,,,,,
27,tt6829938,USA,"$10,000",,,,105 min
28,tt6832936,Canada,,,,"$20,818",91 min
29,tt6833490,USA,,,,,
30,tt6836318,Peru,"PEN250,000",,,,
31,tt6842474,USA,,,,,88 min
32,tt6845080,Albania,,,,,
33,tt6845770,USA,,,,,110 min
34,tt6845932,USA,,,,,57 min
35,tt6852310,UK,,,,,270 min
36,tt6853124,,,,,,
37,tt6857084,Ecuador,"$1,200,000",,,,
38,tt6858386,UK,,,,,60 min
39,tt6859352,USA,,"$51,167,","$129,124","$139,550",93 min
40,tt6860638,USA,"$9,000",,,,
41,tt6863762,China,,,,,
42,tt6863802,USA,"$5,000",,,,148 min
43,tt6864090,UK,,,,,96 min
44,tt6865922,USA,,,,,68 min
45,tt6866298,UK,"GBP5,000",,,,
46,tt6872854,Greece,,,,,
47,tt6873418,Austria,,,,,22 min
48,tt6877088,Canada,,,,,51 min
49,tt6880018,Belgium,,,,,90 min
50,tt6880996,USA,,,,,
51,tt6890586,Denmark,,,,,
52,tt6896536,Israel,,"$31,629,","$618,883","$1,356,159",113 min
53,tt6896950,Argentina,,,,$256,73 min
54,tt6897192,USA,"$770,000",,,,
55,tt6897232,USA,,,,,11 min
56,tt6901252,Belgium,"EUR6,000,000",,,"$309,477",86 min
57,tt6902404,USA,"$750,000",,,,
58,tt6909918,Switzerland,,,,,58 min
59,tt6912552,India,,,,,134 min
60,tt6914246,UK,,,,,204 min
61,tt6916872,Japan,"$500,000",,,"$11,465,365",114 min
62,tt6917494,India,,,,,19 min
