,0
0,nm1119880
1,nm0004056
2,nm0000318
3,nm10633710
4,nm1155471
5,nm0603628
6,nm0006904
7,nm1139726
8,nm0774582
9,nm0379872
10,nm0400441
11,nm1266768
12,nm0575523
13,nm3575075
14,nm0231999
15,nm1455688
16,nm1875808
17,nm0788171
18,nm0001353
19,nm1063072
20,nm1124442
21,nm1035941
22,nm0040286
23,nm0525303
24,nm0871428
25,nm0602941
26,nm0253018
27,nm1429471
28,nm1425885
29,nm0004306
30,nm2071216
31,nm0415769
32,nm0670990
33,nm0605741
34,nm0350099
35,nm0611932
36,nm1856661
37,nm1390830
38,nm1514821
39,nm0126152
40,nm0525141
41,nm2128776
42,nm0596403
43,nm1239959
44,nm0951456
45,nm0786033
46,nm0716347
47,nm0638271
48,nm0437625
49,nm0079578
50,nm1283069
51,nm0532702
52,nm0257775
53,nm0790715
54,nm0438488
55,nm1195064
56,nm0332647
57,nm0945506
58,nm0787687
59,nm4216721
60,nm0319624
61,nm0002077
62,nm0391557
63,nm2066439
64,nm1130052
65,nm0946995
66,nm2285549
67,nm1039584
68,nm0326040
69,nm3061001
70,nm2510168
71,nm1905310
72,nm1230148
73,nm0000916
74,nm1724912
75,nm4389466
76,nm0465372
77,nm4392056
78,nm0084347
79,nm1395112
80,nm0341722
81,nm4411141
82,nm2213511
83,nm2207776
84,nm1244760
85,nm1480594
86,nm1840911
87,nm0792202
88,nm0233123
89,nm4473572
90,nm3269905
91,nm1146341
92,nm0684953
93,nm1968306
94,nm0651723
95,nm1346562
96,nm2461935
97,nm0897092
98,nm0003289
99,nm1419055
100,nm2880743
101,nm0832134
102,nm0831321
103,nm4570456
104,nm0572562
105,nm0324521
106,nm0002478
107,nm4623232
108,nm2099475
109,nm0101047
110,nm4623719
111,nm0690794
112,nm0001129
113,nm0274278
114,nm1729121
115,nm0855300
116,nm0155598
117,nm0487990
118,nm0002077
119,nm4689656
120,nm0018924
121,nm0403297
122,nm2512193
123,nm0542029
124,nm1937249
125,nm0661799
126,nm1049433
127,nm0836715
128,nm3383159
129,nm0702797
130,nm0733886
131,nm1458108
132,nm2574176
133,nm1519079
134,nm1944710
135,nm0629658
136,nm1922660
137,nm0920852
138,nm2133235
139,nm2209781
140,nm0181525
141,nm0793840
142,nm0002892
143,nm4921161
144,nm0196115
145,nm0513769
146,nm2402238
147,nm2043473
148,nm0259915
149,nm2282177
150,nm0000332
151,nm0501185
152,nm0286975
153,nm2284484
154,nm9181025
155,nm1083489
156,nm1505934
157,nm1654324
158,nm1595253
159,nm0698757
160,nm5665415
161,nm1164755
162,nm0900005
163,nm0178997
164,nm2727781
165,nm2676052
166,nm0843281
167,nm0914368
168,nm0425756
169,nm0015359
170,nm1339400
171,nm5282204
172,nm0290131
173,nm0646656
174,nm0109838
175,nm0099398
176,nm0753912
177,nm0009190
178,nm0037136
179,nm0258531
180,nm0757858
181,nm0049294
182,nm0184362
183,nm0001806
184,nm0006734
185,nm3529539
186,nm1002258
187,nm1110037
188,nm0157185
189,nm2433914
190,nm1701267
191,nm0910139
192,nm1126979
193,nm0502671
194,nm0042894
195,nm1768263
196,nm2644574
197,nm0091076
198,nm1918269
199,nm0001469
200,nm0324901
