primary_title,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,start_year,runtime_minutes,genres,averagerating,numvotes,director,Profit,Adventure,Drama,Musical,Romance,War,Action,Animation,Fantasy,Thriller,Music,Mystery,Comedy,Biography,History,Sport,Crime,Documentary,Sci-Fi,Horror,Family,Western
Jurassic World,USA,150000000,208806270,652270625,1670401444,2015,124.0,"['Action', 'Adventure', 'Sci-Fi']",7.0,539338.0,Colin Trevorrow,1520401444,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
John Carter,USA,250000000,30180188,73078100,284139100,2012,132.0,"['Action', 'Adventure', 'Sci-Fi']",6.6,241792.0,Andrew Stanton,34139100,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alice in Wonderland,USA,200000000,116101023,334191110,1025467803,2010,108.0,"['Adventure', 'Family', 'Fantasy']",6.5,358813.0,Tim Burton,825467803,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gou yan kan ren xin,Hong Kong,0,0,0,2704326,2019,91.0,['Drama'],,,Nan Wu,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
My First Client,South Korea,0,0,0,1424100,2019,114.0,['Drama'],,,Kyu-sung Jang,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
From Paris with Love,France,52000000,8158860,24077427,52844496,2010,92.0,"['Action', 'Crime', 'Thriller']",6.5,107079.0,Pierre Morel,844496,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The Bourne Legacy,USA,125000000,38142825,113203870,276144750,2012,135.0,"['Action', 'Adventure', 'Thriller']",6.7,268678.0,Tony Gilroy,151144750,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Limitless,USA,27000000,18907302,79249455,161849455,2011,105.0,"['Mystery', 'Sci-Fi', 'Thriller']",7.4,492490.0,Neil Burger,134849455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
African Cats,USA,5000000,6003200,15428747,30857747,2011,89.0,"['Adventure', 'Documentary']",7.6,5784.0,,25857747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Captain Thunder,Spain,0,0,0,1034558,2011,108.0,['Adventure'],2.9,521.0,Antonio Hernández,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Broken City,USA,35000000,8268908,19701164,34737199,2013,109.0,"['Crime', 'Drama', 'Thriller']",6.2,71704.0,Allen Hughes,-262801,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bon appétit,Spain,0,0,0,1358896,2010,91.0,"['Drama', 'Romance']",6.3,1015.0,David Pinillos,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room in Rome,Spain,0,0,0,844281,2010,107.0,"['Drama', 'Romance']",6.2,20455.0,Julio Medem,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Space Dogs,Russia,25000000,14408,14408,8553835,2010,85.0,"['Adventure', 'Animation', 'Comedy']",5.2,1102.0,,-16446165,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casting By,USA,0,5649,18164,22497,2012,89.0,['Documentary'],7.6,1360.0,Tom Donahue,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
The Last Song,USA,20000000,16007426,62950384,89137047,2010,107.0,"['Drama', 'Music', 'Romance']",6.0,74914.0,Julie Anne Robinson,69137047,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The FP,USA,60000,15465,40557,40557,2011,82.0,['Comedy'],5.6,1541.0,,-19443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enthiran,India,19000000,0,0,3889511,2010,155.0,"['Action', 'Sci-Fi']",7.1,23102.0,S. Shankar,-15110489,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bullet to the Head,USA,45000000,4548201,9489829,21947209,2012,92.0,"['Action', 'Crime', 'Thriller']",5.7,44816.0,Walter Hill,-23052791,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jhootha Hi Sahi,India,0,0,0,23917,2010,142.0,"['Comedy', 'Drama', 'Romance']",6.2,1694.0,Abbas Tyrewala,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubHysteria,USA,130000,0,0,213015,2010,85.0,"['Drama', 'Thriller']",6.9,81.0,Leonard Zelig,83015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Pack,France,3357900,0,0,274839,2010,84.0,['Horror'],4.8,1987.0,Franck Richard,-3083061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Close Enemy,Russia,4500000,0,0,1035474,2010,98.0,['Crime'],5.5,148.0,Aleksandr Atanesyan,-3464526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,Australia,105000000,50085185,144840419,353641895,2013,143.0,"['Drama', 'Romance']",7.3,433165.0,Baz Luhrmann,248641895,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dredd,UK,50000000,6278491,13414714,41037742,2012,95.0,"['Action', 'Crime', 'Sci-Fi']",7.1,234616.0,Pete Travis,-8962258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
The Kid,UK,0,0,0,20354,2010,111.0,['Drama'],6.9,1206.0,Nick Moran,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turk's Head,France,6435000,0,0,1751180,2010,87.0,"['Crime', 'Drama', 'Thriller']",6.0,401.0,Pascal Elbé,-4683820,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
