,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
0,tt1846803,South Korea,,,,"$12,460,480",99 min
1,tt1847648,Iran,,,,,
2,tt1849728,Dominican Republic,,,,,66 min
3,tt1849858,Iran,,,,,90 min
4,tt1851909,Japan,,,,"$30,236,973",108 min
5,tt1853643,USA,,"$1,641,","$2,432","$2,432",85 min
6,tt1854535,Georgia,,,,,90 min
7,tt1854569,Hong Kong,"$5,000,000",,,"$467,327",90 min
8,tt1855256,USA,"$1,200",,,,
9,tt1857766,France,"EUR2,000,000",,,,
10,tt1857808,South Africa,,,,,52 min
11,tt1858522,USA,,,,,90 min
12,tt1858780,Philippines,"PHP500,000",,,,
13,tt1860279,USA,"$1,000",,,,78 min
14,tt1860292,USA,"$22,000",,,,
15,tt1860303,USA,"$25,000",,,,94 min
16,tt1861343,USA,"$60,000",,,,
17,tt1861438,USA,,,,,90 min
18,tt1863245,UK,"GBP3,000",,,,
19,tt1863298,Germany,,,,"$709,626",75 min
20,tt1863323,USA,"$1,000,000",,,,
21,tt1863406,USA,,"$2,983,","$9,269","$9,269",83 min
22,tt1864299,China,,,,,103 min
23,tt1864411,China,,,,"$525,055",96 min
24,tt1864483,USA,"$1,000",,,,
25,tt1864563,Japan,,,,,
26,tt2032445,UK,,,,,
27,tt2033192,USA,,,,,86 min
28,tt2034139,France,"$5,000,000","$7,728,354,","$15,179,302","$25,051,865",88 min
29,tt2035594,USA,,,,,85 min
30,tt2040334,USA,"$12,500",,,,102 min
31,tt2040418,Jamaica,,,,,49 min
32,tt2040454,USA,"$100,000",,,,
33,tt2040571,Netherlands,"EUR200,000",,,,144 min
34,tt2041529,USA,,,,,80 min
35,tt2042492,USA,,,,,20 min
36,tt2042657,Singapore,,,,,91 min
37,tt2042667,UK,"GBP2,000",,,,
38,tt2043773,USA,,,,,67 min
39,tt2043781,Morocco,,,,,97 min
40,tt2048865,USA,"$3,000,000",,,,82 min
41,tt2049386,USA,,,,,99 min
42,tt2049448,USA,,,,,95 min
43,tt2049540,France,,,,,
44,tt2049586,USA,,"$86,741,","$365,422","$365,422",116 min
45,tt2050526,USA,,,,,51 min
46,tt2053405,USA,,,,,79 min
47,tt2053425,France,"EUR15,400,000","$27,154,","$2,062,027","$25,807,712",120 min
48,tt2055666,Poland,,,,"$300,463",87 min
49,tt2055781,UK,GBP500,,,,
50,tt2056535,USA,,,,,91 min
51,tt2057421,Greece,,,,,77 min
52,tt2058673,China,"$105,000,000","$9,800,252,","$28,782,481","$133,718,711",114 min
53,tt2059181,Spain,,,,$362,
54,tt2059205,Germany,,,,,
55,tt2061626,USA,,,,,58 min
56,tt2061814,Germany,,,,,80 min
57,tt2062687,Malaysia,,,,,
58,tt2062945,Canada,"CAD1,200,000",,,,89 min
59,tt2063633,India,,,,,140 min
60,tt2063721,Japan,,,,,
61,tt2063781,USA,"$500,000","$26,943,","$376,597","$499,725",81 min
62,tt2064741,Iceland,,,,,46 min
63,tt2065867,Italy,,,,,
64,tt2066995,USA,"$40,000",,,,
65,tt2069020,USA,,,,,81 min
66,tt2069839,USA,"$75,000",,,,87 min
67,tt2069908,USA,,,,,74 min
68,tt2070643,USA,,,,,105 min
69,tt2070701,Hungary,,,,,99 min
70,tt2070762,Australia,"AUD20,000",,,,
71,tt2070831,India,,,,,90 min
72,tt2070882,Chile,"$250,000",,,,82 min
73,tt2071416,Italy,EUR600,,,,
74,tt2071445,Spain,,,,,78 min
75,tt2071464,Canada,,,,,87 min
76,tt2073135,Argentina,,,,,
77,tt2073582,USA,,,,,101 min
78,tt2073672,USA,,,,,75 min
79,tt2074461,UK,"GBP95,000",,,,73 min
80,tt2075108,India,,,,,120 min
81,tt2075157,Spain,,,,,72 min
82,tt2075162,UK,,,,,52 min
83,tt2075201,China,,,,,
84,tt2075303,Japan,,,,,88 min
85,tt2075377,Uzbekistan,,,,,
86,tt2076227,Iceland,,,,,76 min
87,tt2076246,Greece,,,,,63 min
88,tt2076395,USA,,,,,73 min
89,tt2076897,UK,,"$10,305,","$44,906","$132,056",111 min
90,tt2078593,Germany,"EUR50,000",,,,
91,tt2079591,USA,,,,,87 min
92,tt2080308,USA,"$5,200",,,,70 min
93,tt2080379,Estonia,,,,,48 min
94,tt2081274,USA,,,,,94 min
95,tt2082475,Germany,,,,"$1,286",90 min
96,tt2082494,USA,,,,,113 min
97,tt2083250,Italy,,,,,
98,tt2083385,USA,"$15,000",,,,96 min
99,tt2084005,Switzerland,,,,,91 min
100,tt2084043,USA,"$150,000",,,,89 min
101,tt2084816,Canada,,,,,92 min
102,tt2084941,USA,,,,,90 min
103,tt2085832,Indonesia,,,,,75 min
104,tt2085919,Japan,,,,,80 min
105,tt2086894,South Korea,,,,,91 min
106,tt2086948,Poland,,,,,85 min
107,tt2087886,Thailand,,,,,53 min
108,tt2087910,USA,,,,,100 min
109,tt2088919,USA,,,,,95 min
110,tt2090497,Spain,,,,"$521,145",90 min
111,tt2091301,USA,"$1,000",,,,75 min
112,tt2091387,Armenia,,,,,99 min
113,tt2091427,Mexico,"$4,700,000",,,,92 min
114,tt2091459,USA,"$100,000",,,,98 min
115,tt2094829,USA,"$8,000",,,,90 min
116,tt2094943,USA,,,,,85 min
117,tt2094984,Japan,,,,"$745,039",144 min
118,tt2095615,Germany,"EUR40,000",,,,81 min
119,tt2095819,Finland,,,,"$4,705",80 min
120,tt2103202,Italy,,,,,75 min
121,tt2104871,USA,"$1,000,000",,,,75 min
122,tt2107648,Mexico,,"$783,","$4,534","$4,534",97 min
123,tt2107843,Canada,"$1,000",,,,143 min
124,tt2111392,USA,,"$3,453,","$7,429","$7,429",87 min
125,tt2112291,USA,,,,,
126,tt2112971,USA,"$50,000",,,,102 min
127,tt2113587,France,,,,"$1,055,939",92 min
128,tt2113822,China,"$33,000,000","$105,702,","$312,954","$918,487",145 min
129,tt2114338,USA,$50,,,,119 min
130,tt2118609,USA,,"$895,","$4,674","$4,674",83 min
131,tt2118659,Turkey,,,,"$9,638",89 min
132,tt2119395,UK,,,,,
133,tt2120022,Russia,"$1,000,000",,,,86 min
134,tt2121734,USA,,,,,82 min
135,tt2121813,Republic of North Macedonia,"EUR90,000",,,,
136,tt2124006,USA,,,,,91 min
137,tt2124826,Japan,,,,"$2,817,594",
138,tt2124885,Chile,,,,,84 min
139,tt2126357,USA,"$16,000,000","$6,489,983,","$39,282,227","$72,294,066",103 min
140,tt2126378,Germany,,,,,94 min
141,tt2127348,USA,,,,,86 min
142,tt2129887,France,"EUR12,500,000",,,"$1,507,325",92 min
143,tt2129993,Spain,,,,,52 min
144,tt2131556,New Zealand,"NZD1,100,000",,,"$155,896",87 min
145,tt2131568,Australia,,,,,48 min
146,tt2131586,Japan,,,,"$44,369,456",110 min
147,tt2131637,Puerto Rico,,,,,86 min
148,tt2131676,USA,,,,,60 min
149,tt2132327,,,,,,
150,tt2139721,USA,"$650,000",,,,71 min
151,tt2140393,USA,,,,,53 min
152,tt2140643,USA,$500,,,,91 min
153,tt2144019,USA,"$10,000",,,,92 min
154,tt2144052,Italy,"EUR95,000",,,,46 min
155,tt2144102,USA,"$75,000",,,,84 min
156,tt2145765,Poland,,,,,103 min
157,tt2145821,USA,,,,,90 min
158,tt2145978,France,"EUR800,000",,,,
159,tt2147335,USA,,,,,
