,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
0,tt3377680,Japan,,,,,
1,tt3377996,USA,,,,,83 min
2,tt3381804,Germany,,,,,74 min
3,tt3384254,India,,,,,
4,tt3384750,Spain,,,,,
5,tt3385334,USA,,,,,86 min
6,tt3386928,Canada,,,,,84 min
7,tt3390170,USA,"$3,000",,,,95 min
8,tt3391348,USA,"$200,000",,,,61 min
9,tt3393602,USA,,,,,77 min
10,tt3394986,USA,,,,,87 min
11,tt3395294,Iran,,,,,82 min
12,tt3396014,Australia,,,,,88 min
13,tt3396080,India,"INR10,000",,,,72 min
14,tt3403310,USA,,,,,110 min
15,tt3406004,USA,,,,,90 min
16,tt3407914,USA,,,,,
17,tt3408668,Venezuela,,,,,93 min
18,tt3409716,Japan,,,,,
19,tt3412646,India,"$700,000",,,,
20,tt3413540,Germany,"EUR30,000",,,,
21,tt3418604,Indonesia,,,,,164 min
22,tt3419602,USA,,,,,
23,tt3419656,Australia,AUD0,,,,90 min
24,tt3421192,USA,,,,,80 min
25,tt3422314,USA,"$700,000",,,"$21,233",91 min
26,tt3426030,Israel,,,,,90 min
27,tt3429448,New Zealand,,,,,76 min
28,tt3429656,USA,,,,,
29,tt3433134,USA,,,,,
30,tt3433586,Poland,,,,,60 min
31,tt3434414,India,,,,,
32,tt3436064,Chile,,,,,90 min
33,tt3441764,Spain,,,,,
34,tt3445106,UK,,,,,45 min
35,tt3447554,Italy,,,,,51 min
36,tt3450328,USA,,,,,6 min
37,tt3450432,USA,,,,,96 min
38,tt3451498,Russia,,,,"$5,938,041",99 min
39,tt3454430,Slovenia,,,,,92 min
40,tt3455206,Canada,,,,,90 min
41,tt3456244,Switzerland,,,,,81 min
42,tt3457112,China,,,,,90 min
43,tt3457376,Israel,"$450,000","$6,153,","$41,260","$41,260",84 min
44,tt3457704,Russia,,,,,62 min
45,tt3462360,USA,"$100,000",,,,
46,tt3462696,USA,,,,"$9,240",90 min
47,tt3463010,UK,"GBP150,000",,,,
48,tt3465208,Thailand,,,,"$316,815",109 min
49,tt3466778,Australia,"AUD5,000",,,,65 min
50,tt3469326,Indonesia,,,,,26 min
51,tt3469348,USA,"$500,000",,,,
52,tt3471192,Italy,"EUR100,000",,,,
53,tt3471388,Sri Lanka,"LKR900,000,000",,,,120 min
54,tt3471440,Australia,,,,,87 min
55,tt3473172,USA,,,,,
56,tt3473596,Japan,,,,,51 min
57,tt3474438,Czech Republic,,,,"$7,228",87 min
58,tt3481170,USA,"$5,000",,,,120 min
59,tt3481188,USA,,,,,86 min
60,tt3484366,USA,"$2,500",,,,67 min
61,tt3487302,Germany,,,,,
62,tt3488222,Russia,,,,,52 min
63,tt3488324,Switzerland,,,,,81 min
64,tt3495034,Japan,,,,,70 min
65,tt3496000,USA,,,,,71 min
66,tt3496054,India,,,,,134 min
67,tt3496372,Canada,,,,,92 min
68,tt3497340,USA,"$15,000",,,,231 min
69,tt3498716,USA,,,,,
70,tt3499896,France,,,,,92 min
71,tt3500702,Greece,,,,,55 min
72,tt3502036,UK,,,,,
73,tt3502442,Belgium,,,,,
74,tt3502768,UK,,,,,94 min
75,tt3505458,USA,,,,,109 min
76,tt3505684,USA,,,,,61 min
77,tt3507466,Italy,,,,,95 min
78,tt3509804,Poland,,,,"$628,191",97 min
79,tt3509878,Netherlands,"EUR300,000",,,,79 min
80,tt3510112,Romania,,,,"$3,824",93 min
81,tt3511344,USA,"$200,000",,,,81 min
82,tt3511542,Hong Kong,,"$77,130,","$172,343","$20,415,934",111 min
83,tt3514116,USA,,,,,99 min
84,tt3514876,USA,,,,,45 min
85,tt3516314,Spain,,,,,82 min
86,tt3517984,USA,,,,,106 min
87,tt3519958,Colombia,,,,,105 min
88,tt3520998,USA,"$3,500",,,,83 min
89,tt3523588,USA,,,,,87 min
90,tt3525412,UK,GBP0,,,"$82,461",85 min
91,tt3526110,Italy,,,,,60 min
92,tt3526622,USA,,,,,77 min
93,tt3526706,Greece,,"$5,968,","$25,696","$77,590",105 min
94,tt3527134,Taiwan,,,,"$49,156",
95,tt3527506,Italy,,,,,40 min
96,tt3529098,UK,,,,,80 min
