,name_id,name
0,nm2206685,Maris Martinsons
1,nm1591341,Alrick Brown
2,nm0228542,Christian Ditter
3,nm0246903,Doris Dörrie
4,nm0428600,Kirk Jones
5,nm0607753,Rocco Mortelliti
6,nm0565336,Tom McCarthy
7,nm0150916,Hing-Ka Chan
8,nm3311784,Sando Katsura
9,nm0654042,Svetoslav Ovtcharov
10,nm0905152,Lilly Wachowski
11,nm0841615,Michael Swan
12,nm1252613,Sam Neave
13,nm3085823,Florent de La Tullaye
14,nm0000386,Roland Emmerich
15,nm3889161,Aminah Rhapor
16,nm0739755,Christophe Van Rompaey
17,nm0836715,Philipp Stölzl
18,nm3902034,Dax Phelan
19,nm0690532,Ventura Pons
20,nm0661345,Neri Parenti
21,nm1843186,Andrew Okpeaha MacLean
22,nm0345146,Changwei Gu
23,nm1893665,Ali Samadi Ahadi
24,nm0016269,Giovanni Albanese
25,nm2458644,Pierre Duculot
26,nm0912224,Régis Wargnier
27,nm0000229,Steven Spielberg
28,nm0173724,Cristina Comencini
29,nm0428109,Gary Jones
30,nm0056433,Pierre Barougier
31,nm3977937,Dong-hoon Baek
32,nm0518123,Julia Loktev
33,nm0380961,Lynn Hershman-Leeson
34,nm2119389,Markus Sehr
35,nm3985412,Joseph Robert Maher
36,nm2395722,Reinhold Bilgeri
37,nm4029254,Mithran Jawahar
38,nm0244378,Xavier Durringer
39,nm0244011,André van Duren
40,nm0001401,Angelina Jolie
41,nm0048060,Filip Bajon
42,nm1556113,Leo Khasin
43,nm0763634,Roberto Santiago
44,nm0894207,Simon Verhoeven
45,nm1445276,Daniela De Carlo
46,nm0313227,Henrik Ruben Genz
47,nm1091262,Lori Silverbush
48,nm0075225,Dori Berinstein
49,nm1110912,Soi Cheang
50,nm0175264,Bob Connolly
51,nm0007144,Santosh Sivan
52,nm1318381,Nicolas Benamou
53,nm0757081,Junji Sakamoto
54,nm2759892,Korhan Bozkurt
55,nm0386570,Oliver Hirschbiegel
56,nm1701024,Nadine Labaki
57,nm0309382,Leon Gast
58,nm0346841,Martin Guigui
59,nm1864837,Julia Ostertag
60,nm2010130,Anton Barshchevsky
61,nm1186482,Larissa Trüby
62,nm4222408,Melly Still
63,nm0248119,P. David Ebersole
64,nm1557423,Makoto Tanaka
65,nm0000108,Luc Besson
66,nm0118345,Detlev Buck
67,nm0726261,Ziska Riemann
68,nm1288551,Dragomir Sholev
69,nm4293384,Lucien Förstner
70,nm0072354,Djamel Bensalah
71,nm0393155,Edgar Honetschläger
72,nm0450705,David Kew
73,nm0935863,Michael Winterbottom
74,nm2076015,Jui-Yuan Tsao
75,nm0001661,Rob Reiner
76,nm0698228,Irina Probost
77,nm0872328,Maarten Treurniet
78,nm0532157,Filippo Macelloni
79,nm1947983,Hajime Hashimoto
80,nm0302216,Michael Galinsky
81,nm1367933,Yann Samuell
82,nm3252853,Selçuk Aydemir
83,nm4423631,Saranyoo Jiralak
84,nm0130714,Daniel Calparsoro
85,nm0720241,Kathrin Resetarits
86,nm0000166,Helen Hunt
87,nm3218978,Abhinay Deo
88,nm1925637,David Charhon
89,nm2119212,João Leitão
90,nm2390611,Roberta Marques
91,nm4484662,Ali Özuyar
92,nm1673756,Jan-Ole Gerster
93,nm0681535,Giuseppe Piccioni
94,nm0946995,Patrick Kong
95,nm0823146,Christoph Stark
96,nm0285379,Maya Forbes
97,nm4311230,Jan Lengyel
98,nm4557818,Chainarong Tampong
99,nm1818074,Peter Kristúfek
100,nm0125887,Bob Byington
101,nm0005522,Mario Van Peebles
